Customer Name,Customer State,Product Name,Total Quantity Bought,Unit,Total Value (INR),Total Purchases (Invoices)
A 2 Z SCRAPES TRADERS,Uttarakhand,Plastic Scrap,8281.0,kgs,273273.0,1
A J Enterprise,West Bengal,PET PREFORMS(28 MM 11.5 GM PCO CSD GREEN),3450.0,kgs,437250.0,7
A J Enterprise,West Bengal,PET PREFORMS(28 MM 11.5 GM PCO CSD),2820.0,kgs,335040.0,5
A J Enterprise,West Bengal,Pet Preforms (28mm 10.5 Gm Pco CSD Green),2300.0,kgs,277000.0,2
A J Enterprise,West Bengal,Pet Preform(28 mm 10.5 Gm Pco CSD),1530.0,kgs,177582.0,2
A J Enterprise,West Bengal,Pet Preforms (28mm 22 Gm Pco CSD),780.0,kgs,93504.0,2
A J Enterprise,West Bengal,PET PREFORMS(28 MM 13.2 GM STAR),420.0,kgs,48300.0,1
A J Enterprise,West Bengal,PET PREFORMS (28MM 21GM STAR),400.0,kgs,46000.0,1
A J Enterprise,West Bengal,Pet Preforms (28 mm 22 Gm Pco Green),300.0,kgs,37560.0,1
A. ENTERPRISE,West Bengal,PET PREFORMS(46MM 41 GM NATURAL),75.0,kgs,8475.0,1
A.K ENTERPRISE,West Bengal,PET PREFORMS(38 MM 10 GM JAR),400.0,kgs,48400.0,1
A.K. AEROMATICS,West Bengal,PET PREFORMS(83 MM 30GM JAR),540.0,kgs,68280.0,2
A.S ENTERPRISES,Jharkhand,PET PREFORMS(25MM 10.5 GM ROPP),630.0,kgs,71925.0,3
A.S ENTERPRISES,Jharkhand,PET PREFORMS(28 MM 24.5 GM PCO),120.0,kgs,14520.0,1
A.S ENTERPRISES,Jharkhand,PET PREFORMS(28 MM 18.5 GM STAR),60.0,kgs,7260.0,1
ABHISHEK BERA,West Bengal,PET PREFORMS(28 MM 24.5 GM PCO),2490.0,kgs,274830.0,10
ABHISHEK BERA,West Bengal,PET PREFORM 28MM 13.5 GM PCO,1110.0,kgs,132990.0,7
ABHISHEK BERA,West Bengal,PET PREFORMS(83 MM 30GM JAR),1100.0,kgs,128700.0,5
ABHISHEK BERA,West Bengal,PET PREFORMS(28MM 16GM PCO),1020.0,kgs,127620.0,9
ABHISHEK BERA,West Bengal,PET PREFORMS(28 MM 21 GM PCO),870.0,kgs,92880.0,7
ABHISHEK BERA,West Bengal,PET PREFORMS(53 MM 24GM JAR),700.0,kgs,82180.0,5
ABHISHEK BERA,West Bengal,PET PREFORM(53MM13GM JAR),680.0,kgs,80410.0,5
ABHISHEK BERA,West Bengal,PET PREFORMS(28MM 18.5 GM PCO),600.0,kgs,71190.0,6
ABHISHEK BERA,West Bengal,PET PREFORMS 28 MM 31GM PCO,500.0,kgs,59700.0,6
ABHISHEK BERA,West Bengal,PET PREFORMS(28 MM 18.5 GM STAR),390.0,kgs,47250.0,3
ABHISHEK BERA,West Bengal,PET PREFORMS(28 MM 19 GM STAR),420.0,kgs,45720.0,2
ABHISHEK BERA,West Bengal,Pet Preform(28 mm 10.5 Gm Pco CSD),330.0,kgs,43830.0,3
ABHISHEK BERA,West Bengal,Pet Preforms (28mm 22 Gm Pco CSD),300.0,kgs,37860.0,3
ABHISHEK BERA,West Bengal,PET PREFORMS (28MM 9.4 GM STAR),300.0,kgs,31860.0,2
ABHISHEK BERA,West Bengal,PET PREFORMS(83 MM 33 GM JAR),220.0,kgs,25520.0,2
ABHISHEK BERA,West Bengal,PET PREFORM(83MM 43GM JAR),150.0,kgs,19400.0,2
ABHISHEK BERA,West Bengal,PET PREFORMS(53 MM 17 GM JAR),150.0,kgs,17550.0,1
ABHISHEK BERA,West Bengal,PET PREFORM (48MM 73 GM) STAR,150.0,kgs,16500.0,1
ABHISHEK BERA,West Bengal,PET PREFORMS(120 MM 95 GM JAR),120.0,kgs,14040.0,2
ABHISHEK BERA,West Bengal,PET PREFORM(83 MM 47 GM JAR),100.0,kgs,11700.0,1
ABHISHEK BERA,West Bengal,Pet Preforms (28mm 10.5 Gm Pco CSD Green),75.0,kgs,11400.0,1
ABHISHEK BERA,West Bengal,PET PREFORMS(120 MM 80 GM JAR),80.0,kgs,9360.0,1
ABHISHEK BERA,West Bengal,PET PREFORMS(28MM 12.5 GM Star),60.0,kgs,8700.0,1
ABHISHEK BERA,West Bengal,Pet Preforms (28 mm 22 Gm Pco Green),50.0,kgs,7600.0,1
ABHISHEK BERA,West Bengal,PET PREFORMS(120 MM 102 GM JAR),60.0,kgs,6960.0,1
ADITYA ENTERPRISES,West Bengal,PET PREFORMS(28 MM 11.5 GM PCO CSD GREEN),957.2,kgs,129656.9,9
ADITYA ENTERPRISES,West Bengal,PET PREFORMS (28MM 8.6 Gm Star ),1050.0,kgs,121650.0,11
ADITYA ENTERPRISES,West Bengal,Pet Preforms (28mm 10.5 Gm Pco CSD Green),700.0,kgs,83900.0,8
ADITYA ENTERPRISES,West Bengal,PET PREFORMS(28 MM 11.5 GM PCO CSD),390.0,kgs,49740.0,6
ADITYA ENTERPRISES,West Bengal,Pet Preform(28 mm 10.5 Gm Pco CSD),150.0,kgs,17250.0,3
ADITYA ENTERPRISES,West Bengal,PET PREFORMS (26/22 MM 15.8GM STAR),90.0,kgs,13095.0,1
ADITYA ENTERPRISES,West Bengal,1881 CSD CAPS,10000.0,pcs,5350.0,1
ADITYA ENTERPRISES,West Bengal,22/26 MM WATER CAP,11000.0,pcs,3190.0,1
ADL Industries,West Bengal,PET PREFORMS(25MM 10.5 GM ROPP),12450.0,kgs,1391055.0,4
ADL Industries,West Bengal,PET PREFORMS (28MM 8.6 Gm Star ),1500.0,kgs,178500.0,1
ADL Industries,West Bengal,PET PREFORMS(25 MM 16 GM ROPP),900.0,kgs,106200.0,1
ADL Industries,West Bengal,PET PREFORMS(28 MM 24.5 GM PCO),900.0,kgs,105300.0,1
ADVANCE PLASTICS,Assam,PET PREFORMS(120 MM 80 GM JAR),18000.0,kgs,2240000.0,17
ADVANCE PLASTICS,Assam,PET PREFORMS(120 MM 75 GM JAR NEW),1100.0,kgs,135300.0,1
ADVANCE PLASTICS,Assam,PET PREFORM (38MM 5.5 GM JAR),504.0,kgs,59976.0,1
ADVANCE PLASTICS,Assam,PET PREFORMS(53 MM 17 GM JAR),200.0,kgs,25600.0,1
ADVANCE PLASTICS,Assam,PET PREFORMS(38 MM 10 GM JAR),200.0,kgs,25500.0,1
ADVANCE PLASTOTECH WORKS,West Bengal,Pet Preform(28 mm 10.5 Gm Pco CSD),7081.0,kgs,865494.0,69
ADVANCE PLASTOTECH WORKS,West Bengal,PET PREFORMS(120 MM 75 GM JAR),2700.0,kgs,324825.5,17
ADVANCE PLASTOTECH WORKS,West Bengal,PET PREFORMS(120 MM 74 GM JAR),2020.0,kgs,241705.0,8
ADVANCE PLASTOTECH WORKS,West Bengal,PET PREFORMS (28MM 9.4 GM STAR),1680.0,kgs,198618.0,26
ADVANCE PLASTOTECH WORKS,West Bengal,Pet Preforms (28mm 10.5 Gm Pco CSD Green),1125.0,kgs,135087.5,27
ADVANCE PLASTOTECH WORKS,West Bengal,PET PREFORMS(120 MM 75 GM JAR NEW),1040.0,kgs,122120.0,11
ADVANCE PLASTOTECH WORKS,West Bengal,PET PREFORMS (28MM 8.6 Gm Star ),1020.0,kgs,121323.0,17
ADVANCE PLASTOTECH WORKS,West Bengal,PET PREFORMS(28 MM 11.5 GM PCO CSD GREEN),675.0,kgs,94112.5,9
ADVANCE PLASTOTECH WORKS,West Bengal,PET PREFORM( 28 MM 15 GM PCO CSD),300.0,kgs,35790.0,7
ADVANCE PLASTOTECH WORKS,West Bengal,1881 CSD CAPS,70000.0,pcs,35400.0,12
ADVANCE PLASTOTECH WORKS,West Bengal,PET PREFORMS(120 MM 70 GM JAR),220.0,kgs,26435.0,6
